Year,County,Units,Unit%Chg,AvgPrice,Avg%Chg,MedianPrice,Median%Chg
2017,Baltimore City,"9,054",9.70%,"174,003",,"132,008",
2017,Baltimore County,"10,578",1.60%,"273,971",,"229,696",
2017,Calvert,"1,690",5.60%,"337,387",,"312,171",
2017,Caroline,395,1.80%,"178,606",,"168,635",
2017,Carroll,"2,413",-3.90%,"322,709",,"301,480",
2017,Cecil,"1,383",4.50%,"226,460",,"216,484",
2017,Charles,"2,662",6.50%,"289,140",,"279,304",
2017,Dorchester,433,-5.70%,"195,763",,"153,542",
2017,Frederick,"4,282",4.60%,"318,479",,"296,966",
2017,Garrett,496,4.90%,"355,312",,"264,979",
2017,Harford,"3,766",2.00%,"271,742",,"244,329",
2017,Howard,"4,383",0.70%,"438,370",,"403,323",
2017,Kent,346,7.80%,"283,143",,"214,750",
2017,Montgomery,"12,434",-0.30%,"520,318",,"417,371",
2017,Prince George's,"10,229",5.10%,"283,226",,"274,790",
2017,Queen Anne's,938,10.60%,"370,326",,"315,808",
2017,Somerset,185,-11.90%,"122,552",,"108,426",
2017,St. Mary's,"1,621",8.50%,"287,546",,"269,967",
2017,Talbot,720,12.00%,"479,257",,"321,913",
2017,Washington,"1,861",-1.40%,"190,743",,"172,825",
2017,Wicomico,"1,044",-3.20%,"148,210",,"144,505",
2017,Worcester,"2,140",9.00%,"275,851",,"260,619",
