School District,County,Median List Price (District),Median List Price (County),List Price Premium (vs County),Listing Views (vs County),Days on Market (District),Days on Market (County),Days on Market (vs County %),Median Days on Market (vs County),Avg. School Rating
Napoleon Area City School District,"Henry, OH","$112,000 ","$110,000 ",102%,128.21%,46,54,85%,-8,6.5
Henning Public School District,"Otter Tail, MN","$204,000 ","$200,000 ",102%,69.23%,110,76,144%,34,7
Midland Cusd 7 School District,"Marshall, IL","$149,000 ","$146,000 ",102%,96.00%,100,109,92%,-9,7.3
Coal City Cusd 1 School District,"Grundy, IL","$179,000 ","$175,000 ",102%,115.91%,62,73,85%,-11,8.5
Blackstone-Millville School District,"Worcester, MA","$325,000 ","$318,000 ",102%,85.19%,48,55,87%,-7,8
Douglas County School District,"Douglas, GA","$189,000 ","$185,000 ",102%,100.00%,56,55,102%,1,5.7
Newfound Area School District,"Grafton, NH","$230,000 ","$225,000 ",102%,131.82%,66,76,87%,-10,7
Lakeside Union School District,"Kern, CA","$230,000 ","$225,000 ",102%,100.00%,54,58,93%,-4,6
Northampton Area School District,"Northampton, PA","$230,000 ","$225,000 ",102%,94.23%,78,69,112%,9,6.8
Butte H S School District,"Silver Bow, MT","$138,000 ","$135,000 ",102%,100.00%,83,82,101%,1,5.3
Brookings-Harbor Sd 17C School District,"Curry, OR","$409,000 ","$400,000 ",102%,100.00%,94,101,94%,-7,5
Lemoore Union High School District,"Kings, CA","$230,000 ","$225,000 ",102%,116.90%,43,46,94%,-3,5.6
Henry-Senachwine Cusd 5 School District,"Marshall, IL","$149,000 ","$146,000 ",102%,104.00%,109,109,100%,0,6
Spring Hill,"Johnson, KS","$350,000 ","$342,000 ",102%,59.15%,65,38,171%,27,8.2
South Jefferson Central School District,"Jefferson, NY","$169,000 ","$165,000 ",102%,100.00%,68,83,82%,-15,8
Kern Union High School District,"Kern, CA","$230,000 ","$225,000 ",102%,100.00%,55,58,95%,-3,5.4
Chapel Hill-Carrboro School District,"Chatham, NC","$475,000 ","$465,000 ",102%,115.15%,81,93,87%,-12,8.4
Mohawk Trail School District,"Franklin, MA","$245,000 ","$240,000 ",102%,70.00%,69,65,106%,4,4.9
Beaverhead County H S School District,"Beaverhead, MT","$220,000 ","$216,000 ",102%,100.00%,79,73,108%,6,7.4
Rockford Public School District,"Kent, MI","$301,000 ","$295,000 ",102%,109.62%,33,33,100%,0,9.1
Lexington 01 School District,"Lexington, SC","$194,000 ","$190,000 ",102%,106.67%,56,59,96%,-3,8.1
Marshall Public School District,"Lyon, MN","$138,000 ","$135,000 ",102%,110.42%,69,69,100%,0,6
Chapel Hill-Carrboro School District,"Orange, NC","$460,000 ","$450,000 ",102%,97.62%,62,62,100%,0,8.5
Roseville Public School District,"Ramsey, MN","$250,000 ","$245,000 ",102%,88.89%,44,41,107%,3,5.6
Bozeman Elementary,"Gallatin, MT","$449,000 ","$440,000 ",102%,96.30%,62,65,95%,-3,8.2
Lawrence School District,"Douglas, KS","$255,000 ","$250,000 ",102%,100.00%,41,44,93%,-3,5.6
Lake Orion Community School District,"Oakland, MI","$372,000 ","$365,000 ",102%,98.67%,41,38,108%,3,9.5
Eureka Elementary,"Lincoln, MT","$305,000 ","$299,000 ",102%,138.89%,125,121,103%,4,5
Carbondale Chsd 165 School District,"Jackson, IL","$125,000 ","$122,000 ",102%,100.00%,82,88,93%,-6,3.9
L'anse Creuse Public School District,"Macomb, MI","$199,000 ","$195,000 ",102%,100.00%,46,40,115%,6,7.1
Randolph Uhsd 2 School District,"Orange, VT","$209,000 ","$205,000 ",102%,78.57%,102,115,89%,-13,5.1
Macomb Cusd 185 School District,"McDonough, IL","$115,000 ","$113,000 ",102%,100.00%,119,116,102%,3,7.8
Eldon R-I School District,"Morgan, MO","$200,000 ","$196,000 ",102%,100.00%,81,103,79%,-22,5.8
Orangeburg 04 School District,"Orangeburg, SC","$150,000 ","$147,000 ",102%,83.33%,130,137,95%,-7,3.6
Red Lodge H S School District,"Carbon, MT","$339,000 ","$333,000 ",102%,100.00%,103,102,101%,1,8.4
West New York School District,"Hudson, NJ","$377,000 ","$370,000 ",102%,46.15%,77,57,135%,20,3.1
School Of The Osage School District,"Morgan, MO","$200,000 ","$196,000 ",102%,92.86%,121,103,117%,18,7.3
Lincoln Unified School District,"San Joaquin, CA","$325,000 ","$319,000 ",102%,111.90%,26,26,100%,0,6.5
College Station Isd School District,"Brazos, TX","$321,000 ","$315,000 ",102%,104.55%,50,53,94%,-3,8.3
Rome City School District,"Floyd, GA","$138,000 ","$135,000 ",102%,100.00%,108,108,100%,0,6
Mascoma Valley Reg School District,"Grafton, NH","$229,000 ","$225,000 ",102%,90.91%,86,76,113%,10,5
Solanco School District,"Lancaster, PA","$280,000 ","$275,000 ",102%,100.00%,47,67,70%,-20,5.1
Litchfield Elementary District School District,"Maricopa, AZ","$330,000 ","$324,000 ",102%,117.14%,55,54,102%,1,8.1
Greenville Isd School District,"Hunt, TX","$141,000 ","$138,000 ",102%,111.90%,59,63,94%,-4,5.3
Anderson 01 School District,"Greenville, SC","$254,000 ","$250,000 ",102%,92.96%,61,57,107%,4,8.6
Ramsey School District,"Bergen, NJ","$620,000 ","$609,000 ",102%,121.05%,55,61,90%,-6,9.1
Ridgefield School District,"Fairfield, CT","$799,000 ","$785,000 ",102%,157.14%,73,75,97%,-2,9.7
Warren School District,"Washington, VT","$229,000 ","$225,000 ",102%,58.33%,223,135,165%,88,7.3
Plainfield Sd 202 School District,"Will, IL","$235,000 ","$231,000 ",102%,91.49%,51,54,94%,-3,6.8
Leland And Gray Uhsd 34 School District,"Windham, VT","$229,000 ","$225,000 ",102%,93.75%,226,155,146%,71,4
Canton Central School District,"St. Lawrence, NY","$129,000 ","$127,000 ",102%,128.57%,95,130,73%,-35,7.3
Summit Hill Sd 161 School District,"Will, IL","$235,000 ","$231,000 ",102%,147.87%,53,54,98%,-1,8.9
Upper Lake Union High School District,"Lake, CA","$294,000 ","$289,000 ",102%,100.00%,61,55,111%,6,2.8
Minooka Chsd 111 School District,"Will, IL","$235,000 ","$231,000 ",102%,136.17%,46,54,85%,-8,8.6
Searcy School District,"White, AR","$148,000 ","$145,000 ",102%,105.00%,75,80,94%,-5,8.9
Ross Valley Elementary School District,"Marin, CA","$1,195,000 ","$1,175,000 ",102%,117.39%,39,37,105%,2,9.4
Hudson City School District,"Columbia, NY","$300,000 ","$295,000 ",102%,162.50%,87,95,92%,-8,2.5
Martinez Unified School District,"Contra Costa, CA","$549,000 ","$540,000 ",102%,124.00%,36,34,106%,2,8.2
Rialto Unified School District,"San Bernardino, CA","$300,000 ","$295,000 ",102%,195.83%,44,53,83%,-9,4.2
Adams 12 Five Star School District,"Adams, CO","$365,000 ","$359,000 ",102%,125.00%,21,23,91%,-2,5.3
Caledonia Community School District,"Kent, MI","$300,000 ","$295,000 ",102%,89.42%,45,33,136%,12,8.2
El Dorado Union High School District,"El Dorado, CA","$559,000 ","$550,000 ",102%,106.78%,33,38,88%,-5,8.1
Waltham School District,"Middlesex, MA","$565,000 ","$556,000 ",102%,106.56%,32,37,86%,-5,5
Hudsonville Public School District,"Ottawa, MI","$310,000 ","$305,000 ",102%,77.05%,41,45,91%,-4,9.2
Owatonna Public School District,"Steele, MN","$163,000 ","$160,000 ",102%,95.65%,44,45,98%,-1,5.7
Wichita Falls Isd School District,"Wichita, TX","$125,000 ","$123,000 ",102%,100.00%,65,67,97%,-2,5.5
Traverse City Area Public School District,"Grand Traverse, MI","$315,000 ","$310,000 ",102%,103.03%,60,60,100%,0,7.4
Dixon Usd 170 School District,"Lee, IL","$120,000 ","$118,000 ",102%,106.85%,62,69,91%,-7,5.8
Cheboygan Area School District,"Cheboygan, MI","$163,000 ","$160,000 ",102%,89.47%,103,89,115%,14,6
Elkton-Pigeon-Bay Port Laker School District,"Huron, MI","$97,000 ","$95,000 ",102%,105.56%,100,90,111%,10,7.6
Selinsgrove Area School District,"Snyder, PA","$210,000 ","$207,000 ",102%,112.50%,96,100,96%,-4,6.3
Corbin Independent School District,"Whitley, KY","$128,000 ","$126,000 ",102%,98.08%,81,82,99%,-1,8.8
Queensbury Union Free School District,"Warren, NY","$264,000 ","$260,000 ",102%,106.67%,87,107,81%,-20,7.5
Harnett County School District,"Harnett, NC","$180,000 ","$177,000 ",102%,90.91%,79,76,104%,3,4.7
Palos Heights Sd 128 School District,"Cook, IL","$270,000 ","$266,000 ",102%,153.23%,56,54,103%,2,7.3
Morton Grove Sd 70 School District,"Cook, IL","$270,000 ","$266,000 ",102%,87.10%,52,54,96%,-2,7.9
Pontiac-W Holliday Sd 105 School District,"St. Clair, IL","$172,000 ","$170,000 ",102%,72.22%,60,66,91%,-6,7.7
FREDERICK CO PBLC SCHS,"Frederick, VA","$275,000 ","$271,000 ",101%,105.41%,55,58,95%,-3,5.1
Nestucca Valley Sd 101J School District,"Tillamook, OR","$355,000 ","$350,000 ",101%,72.73%,113,101,112%,12,5
Paxton-Buckley-Loda Cud 10 School District,"Ford, IL","$84,000 ","$83,000 ",101%,84.38%,147,101,145%,46,6
Colchester School District,"Chittenden, VT","$365,000 ","$360,000 ",101%,125.71%,58,74,78%,-16,10
Sapulpa School District,"Creek, OK","$115,000 ","$113,000 ",101%,120.83%,54,61,89%,-7,6.5
Nauset School District,"Barnstable, MA","$529,000 ","$522,000 ",101%,138.89%,87,86,101%,1,8
El Campo Isd School District,"Wharton, TX","$150,000 ","$148,000 ",101%,93.33%,120,116,103%,4,4.5
Battle Ground School District,"Clark, WA","$385,000 ","$380,000 ",101%,75.00%,48,39,122%,9,6.8
Yuma Union High School District,"Yuma, AZ","$193,000 ","$190,000 ",101%,100.00%,89,89,100%,0,5.4
Somerset School District,"St. Croix, WI","$263,000 ","$260,000 ",101%,88.89%,53,53,100%,0,6
Fremont Public School District,"Newaygo, MI","$152,000 ","$150,000 ",101%,122.73%,95,83,114%,12,7.5
Girard School District,"Erie, PA","$127,000 ","$125,000 ",101%,131.03%,40,48,83%,-8,7.7
North Canton City School District,"Stark, OH","$167,000 ","$165,000 ",101%,186.67%,30,42,71%,-12,9
Bartholomew Con School Corporation,"Bartholomew, IN","$195,000 ","$192,000 ",101%,100.00%,68,68,100%,0,5.4
Madison County School District,"Madison, KY","$170,000 ","$168,000 ",101%,100.00%,62,62,100%,0,6.4
Park H S School District,"Park, MT","$306,000 ","$302,000 ",101%,100.00%,73,73,100%,0,7.9
Great Meadows Regional School District,"Warren, NJ","$262,000 ","$259,000 ",101%,102.27%,74,83,89%,-9,7
Silver Lake School District,"Plymouth, MA","$404,000 ","$400,000 ",101%,125.51%,41,51,80%,-10,7
Harrisburg Cusd 3 School District,"Saline, IL","$80,000 ","$79,000 ",101%,111.54%,109,127,86%,-18,4.7
Poynette School District,"Columbia, WI","$233,000 ","$230,000 ",101%,103.85%,55,79,70%,-24,6.3
Newport School District,"Pend Oreille, WA","$225,000 ","$223,000 ",101%,107.69%,79,79,100%,0,6.3
New Prairie United School Corporation,"La Porte, IN","$181,000 ","$179,000 ",101%,120.69%,60,70,86%,-10,6
Desert Sands Unified School District,"Riverside, CA","$389,000 ","$385,000 ",101%,34.62%,100,65,154%,35,7.4
Lexington 05 School District,"Richland, SC","$199,000 ","$197,000 ",101%,121.43%,55,66,83%,-11,7.6
Anoka-Hennepin Public School Dist. School District,"Anoka, MN","$240,000 ","$238,000 ",101%,100.00%,40,41,98%,-1,7.1
Bordentown Regional Schoo School District,"Burlington, NJ","$242,000 ","$240,000 ",101%,108.57%,89,74,120%,15,5
Shenandoah Community School District,"Page, IA","$89,000 ","$88,000 ",101%,93.33%,102,85,120%,17,4
Camdenton R-Iii School District,"Camden, MO","$215,000 ","$213,000 ",101%,95.83%,96,90,107%,6,7
Ocean Beach School District,"Pacific, WA","$217,000 ","$215,000 ",101%,110.53%,76,76,100%,0,5
Athens School District,"McMinn, TN","$111,000 ","$110,000 ",101%,100.00%,79,79,100%,0,7
Hillman Community School District,"Montmorency, MI","$100,000 ","$99,000 ",101%,112.50%,114,121,94%,-7,5
Meade School District 46-1 School District,"Meade, SD","$242,000 ","$240,000 ",101%,108.00%,53,51,103%,2,3.1
Concord Community School District,"Elkhart, IN","$189,000 ","$188,000 ",101%,124.00%,68,62,110%,6,5.1
College Place School District,"Walla Walla, WA","$267,000 ","$265,000 ",101%,63.33%,65,58,111%,7,3.4
Bartlesville School District,"Washington, OK","$131,000 ","$130,000 ",101%,103.57%,58,58,100%,0,7.8
Nevada City Elementary School District,"Nevada, CA","$529,000 ","$525,000 ",101%,140.00%,48,54,89%,-6,8
Fountain Valley Elementary School District,"Orange, CA","$735,000 ","$730,000 ",101%,128.26%,34,42,81%,-8,8.5
Greenville Public School District,"Montcalm, MI","$139,000 ","$138,000 ",101%,175.51%,47,59,80%,-12,7
Sampson County School District,"Sampson, NC","$130,000 ","$129,000 ",101%,88.00%,81,99,82%,-18,4.3
Helena H S School District,"Lewis and Clark, MT","$363,000 ","$360,000 ",101%,104.55%,71,69,102%,2,8
Hampton School District,"Rockingham, NH","$375,000 ","$373,000 ",101%,63.46%,90,52,173%,38,8
Lowville Academy & Central School District,"Lewis, NY","$140,000 ","$139,000 ",101%,154.55%,80,96,83%,-16,6.7
Reading School District,"Middlesex, MA","$559,000 ","$556,000 ",101%,201.64%,26,37,70%,-11,8.3
Beaumont Isd School District,"Jefferson, TX","$150,000 ","$149,000 ",101%,106.52%,57,62,92%,-5,6.2
Spartanburg 05 School District,"Spartanburg, SC","$199,000 ","$198,000 ",101%,115.79%,51,65,78%,-14,7.2
Acton-Boxborough School District,"Middlesex, MA","$559,000 ","$556,000 ",101%,95.90%,39,37,105%,2,10
Watertown School District,"Middlesex, MA","$559,000 ","$556,000 ",101%,134.43%,19,37,51%,-18,5
Polk School District,"Polk, FL","$181,000 ","$180,000 ",101%,103.23%,81,81,100%,0,4.3
Harris County School District,"Harris, GA","$254,000 ","$253,000 ",101%,100.00%,108,108,100%,0,7.5
Pequea Valley School District,"Lancaster, PA","$276,000 ","$275,000 ",101%,65.52%,71,67,105%,4,5.9
Nettleton School District,"Craighead, AR","$186,000 ","$185,000 ",101%,100.00%,53,66,80%,-13,6.1
Fergus H S School District,"Fergus, MT","$170,000 ","$169,000 ",101%,107.69%,156,156,100%,0,4
Eufaula City School District,"Barbour, AL","$200,000 ","$199,000 ",100%,100.00%,192,197,97%,-5,4.7
Vallivue School District,"Canyon, ID","$200,000 ","$199,000 ",100%,72.73%,53,45,118%,8,5.3
Caro Community School District,"Tuscola, MI","$90,000 ","$89,000 ",100%,88.89%,69,78,88%,-9,4.7
Putnam School District,"Alachua, FL","$210,000 ","$209,000 ",100%,38.89%,127,69,184%,58,3.8
Cusd 300 School District,"McHenry, IL","$235,000 ","$234,000 ",100%,110.26%,51,58,88%,-7,7.1
Tahlequah School District,"Cherokee, OK","$123,000 ","$122,000 ",100%,100.00%,83,83,100%,0,6.3
Mesa County Valley School District No. 51 School District,"Mesa, CO","$245,000 ","$244,000 ",100%,107.69%,60,61,98%,-1,5.8
Pasco School District,"Pasco, FL","$195,000 ","$194,000 ",100%,100.00%,66,66,100%,0,5.9
Marengo Chsd 154 School District,"McHenry, IL","$235,000 ","$234,000 ",100%,111.54%,63,58,109%,5,7.2
Shasta Union High School District,"Shasta, CA","$291,000 ","$290,000 ",100%,100.00%,52,52,100%,0,6.2
Lopatcong Township School District,"Warren, NJ","$260,000 ","$259,000 ",100%,90.91%,76,83,92%,-7,6
Sumner County School District,"Davidson, TN","$341,000 ","$340,000 ",100%,120.00%,38,33,115%,5,7.8
Nixa R-Ii School District,"Christian, MO","$250,000 ","$249,000 ",100%,93.33%,51,53,96%,-2,9.6
Garfield School District No. Re-2 School District,"Garfield, CO","$275,000 ","$274,000 ",100%,100.00%,58,60,97%,-2,5.1
Scottsbluff Public School District,"Scotts Bluff, NE","$140,000 ","$139,000 ",100%,102.00%,61,62,98%,-1,4.9
Meridian Joint District School District,"Ada, ID","$285,000 ","$284,000 ",100%,89.36%,43,41,105%,2,6.4
Warren Hills Regional Hig School District,"Warren, NJ","$260,000 ","$259,000 ",100%,104.55%,83,83,100%,0,5.3
Charlotte-Mecklenburg School District,"Mecklenburg, NC","$301,000 ","$300,000 ",100%,100.00%,47,47,100%,0,6.6
Fairfield City School District,"Butler, OH","$160,000 ","$160,000 ",100%,144.44%,54,58,93%,-4,6.4
Sauk Rapids-Rice Public School District,"Benton, MN","$185,000 ","$184,000 ",100%,95.16%,55,55,100%,0,6.9
Pearl River Union Free School District,"Rockland, NY","$500,000 ","$499,000 ",100%,177.78%,68,70,98%,-2,9
Walled Lake Consolidated School District,"Oakland, MI","$366,000 ","$365,000 ",100%,113.33%,37,38,97%,-1,8.5
Walker-Hackensack-Akeley School Dist,"Cass, MN","$230,000 ","$230,000 ",100%,165.00%,95,86,110%,9,3
Wethersfield School District,"Hartford, CT","$250,000 ","$250,000 ",100%,106.67%,59,61,97%,-2,6.8
Plainview-Old Bethpage Central School District,"Nassau, NY","$600,000 ","$599,000 ",100%,110.00%,61,66,92%,-5,8.9
Orange School District,"Orange, FL","$260,000 ","$259,000 ",100%,97.87%,65,65,100%,0,6.5
Rapid City Area School District 51-4 School District,"Pennington, SD","$250,000 ","$250,000 ",100%,96.43%,52,55,95%,-3,5.8
Socorro Isd School District,"El Paso, TX","$160,000 ","$159,000 ",100%,64.29%,100,96,104%,4,5.8
Orleans Parish School District,"Orleans, LA","$309,000 ","$309,000 ",100%,100.00%,80,80,100%,0,7.1
Indian Lake Central School District,"Hamilton, NY","$180,000 ","$180,000 ",100%,84.62%,78,91,86%,-13,5
Chatham County School District,"Chatham, NC","$465,000 ","$465,000 ",100%,93.94%,97,93,104%,4,6.5
Beaverton Rural School District,"Gladwin, MI","$125,000 ","$125,000 ",100%,109.09%,95,85,112%,10,5
Trinity Alps Unified School District,"Trinity, CA","$300,000 ","$299,000 ",100%,100.00%,73,74,99%,-1,5.2
Desoto Isd,"Ellis, TX","$226,000 ","$226,000 ",100%,20.27%,42,41,102%,1,3.4
Albert Gallatin Area School District,"Fayette, PA","$140,000 ","$140,000 ",100%,129.41%,66,86,77%,-20,3
Batesville School District,"Independence, AR","$140,000 ","$140,000 ",100%,91.67%,120,116,103%,4,8
Troy R-Iii School District,"Lincoln, MO","$165,000 ","$165,000 ",100%,113.16%,59,58,102%,1,5
Circleville City School District,"Pickaway, OH","$160,000 ","$160,000 ",100%,89.39%,38,34,112%,4,4.8
Belmont-Redwood Shores Elementary School District,"San Mateo, CA","$1,399,000 ","$1,398,000 ",100%,83.33%,24,31,77%,-7,8.9
Coweta School District,"Wagoner, OK","$160,000 ","$160,000 ",100%,130.77%,60,66,92%,-6,6
Unity School District,"Polk, WI","$195,000 ","$195,000 ",100%,100.00%,65,66,98%,-1,4.4
Los Lunas Public School District,"Valencia, NM","$200,000 ","$200,000 ",100%,113.33%,86,87,99%,-1,5.4
Greenville 01 School District,"Greenville, SC","$250,000 ","$250,000 ",100%,101.41%,56,57,98%,-1,6.9
Francis Howell R-Iii School District,"St. Charles, MO","$225,000 ","$225,000 ",100%,103.51%,41,41,100%,0,8.4
Davidson County School District,"Davidson, TN","$340,000 ","$340,000 ",100%,100.00%,33,33,100%,0,4.7
Springfield Township School District,"Montgomery, PA","$350,000 ","$350,000 ",100%,126.09%,67,65,103%,2,8
Wilson County School District,"Wilson, TN","$340,000 ","$340,000 ",100%,105.88%,35,35,100%,0,8
Charleston 01 School District,"Charleston, SC","$450,000 ","$450,000 ",100%,100.00%,70,70,100%,0,6.8
Chambersburg Area School District,"Franklin, PA","$210,000 ","$210,000 ",100%,96.55%,74,81,92%,-7,4.5
Abbeville 60,"Abbeville, SC","$165,000 ","$165,000 ",100%,100.00%,114,114,100%,0,8
Kirksville R-Iii School District,"Adair, MO","$110,000 ","$110,000 ",100%,100.00%,116,116,100%,0,7
Quincy Sd 172 School District,"Adams, IL","$119,000 ","$119,000 ",100%,103.33%,72,74,97%,-2,4.2
Natchez-Adams School Dist School District,"Adams, MS","$179,000 ","$179,000 ",100%,100.00%,137,137,100%,0,3
Hastings Public School District,"Adams, NE","$125,000 ","$125,000 ",100%,100.00%,44,44,100%,0,2
Adams-Friendship Area School District,"Adams, WI","$113,000 ","$113,000 ",100%,100.00%,105,105,100%,0,4
Aiken 01 School District,"Aiken, SC","$217,000 ","$217,000 ",100%,100.00%,105,105,100%,0,5.8
Alachua School District,"Alachua, FL","$209,000 ","$209,000 ",100%,104.17%,68,69,99%,-1,6.4
Albany County School District #1 School District,"Albany, WY","$275,000 ","$275,000 ",100%,100.00%,56,56,100%,0,7.1
ALBEMARLE CO PBLC SCHS,"Albemarle, VA","$499,000 ","$499,000 ",100%,100.00%,80,80,100%,0,6.1
Corinth School Dist School District,"Alcorn, MS","$159,000 ","$159,000 ",100%,100.00%,94,94,100%,0,5.5
Alexander County School District,"Alexander, NC","$215,000 ","$215,000 ",100%,100.00%,96,96,100%,0,5
Munising Public School District,"Alger, MI","$113,000 ","$113,000 ",100%,100.00%,120,120,100%,0,7
Allegany County Public School District,"Allegany, MD","$115,000 ","$115,000 ",100%,100.00%,109,109,100%,0,5.7
Alleghany County School District,"Alleghany, NC","$192,000 ","$192,000 ",100%,100.00%,89,89,100%,0,6
Allen Co School District,"Allen, KY","$120,000 ","$120,000 ",100%,100.00%,118,118,100%,0,6.5
Alpine County Unified School District,"Alpine, CA","$339,000 ","$339,000 ",100%,100.00%,175,175,100%,0,4
Amelia Co Pblc Schs School District,"Amelia, VA","$258,000 ","$258,000 ",100%,100.00%,69,69,100%,0,4
Amherst Co Pblc Schs School District,"Amherst, VA","$188,000 ","$188,000 ",100%,100.00%,79,79,100%,0,4.3
Anchorage School District,"Anchorage, AK","$335,000 ","$335,000 ",100%,100.00%,54,54,100%,0,6.5
Anderson Co School District,"Anderson, KY","$139,000 ","$139,000 ",100%,100.00%,83,83,100%,0,7.1
Oak Ridge School District,"Anderson, TN","$154,000 ","$154,000 ",100%,100.00%,75,75,100%,0,9
Andrews Isd School District,"Andrews, TX","$205,000 ","$205,000 ",100%,100.00%,89,89,100%,0,3.4
Anne Arundel County Public School District,"Anne Arundel, MD","$390,000 ","$390,000 ",100%,100.00%,59,59,100%,0,7.1
Round Valley Unified District School District,"Apache, AZ","$170,000 ","$170,000 ",100%,100.00%,114,114,100%,0,5.7
Centerville Community School District,"Appanoose, IA","$55,000 ","$55,000 ",100%,100.00%,80,80,100%,0,4
Appomattox Co Pblc Schs School District,"Appomattox, VA","$161,000 ","$161,000 ",100%,100.00%,115,115,100%,0,4.7
Aransas County Isd School District,"Aransas, TX","$290,000 ","$290,000 ",100%,100.00%,97,97,100%,0,5.7
Archuleta County School District No. 50 Jt School District,"Archuleta, CO","$392,000 ","$392,000 ",100%,100.00%,74,74,100%,0,4.7
Stuttgart School District,"Arkansas, AR","$115,000 ","$115,000 ",100%,100.00%,173,173,100%,0,4.5
Arlington Co Pblc Schs School District,"Arlington, VA","$625,000 ","$625,000 ",100%,100.00%,45,45,100%,0,7.2
Ascension Parish School District,"Ascension, LA","$280,000 ","$280,000 ",100%,100.00%,48,48,100%,0,7.8
Ashland City School District,"Ashland, OH","$107,000 ","$107,000 ",100%,100.00%,59,59,100%,0,6
Ashland School District,"Ashland, WI","$89,000 ","$89,000 ",100%,100.00%,84,84,100%,0,4
Crossett School District,"Ashley, AR","$100,000 ","$100,000 ",100%,100.00%,136,136,100%,0,3.7
Pleasanton Isd School District,"Atascosa, TX","$214,000 ","$214,000 ",100%,100.00%,88,88,100%,0,3
Atchison Public School District,"Atchison, KS","$72,000 ","$72,000 ",100%,100.00%,88,88,100%,0,4.3
Mexico 59 School District,"Audrain, MO","$106,000 ","$106,000 ",100%,100.00%,85,85,100%,0,4
St Marys City School District,"Auglaize, OH","$140,000 ","$140,000 ",100%,100.00%,75,75,100%,0,7
Augusta Co Pblc Schs School District,"Augusta, VA","$229,000 ","$229,000 ",100%,100.00%,90,90,100%,0,5
Autauga County School District,"Autauga, AL","$185,000 ","$185,000 ",100%,100.00%,83,83,100%,0,8.2
Baldwin County School District,"Baldwin, AL","$310,000 ","$310,000 ",100%,100.00%,88,88,100%,0,7.8
Baldwin County School District,"Baldwin, GA","$189,000 ","$189,000 ",100%,100.00%,83,83,100%,0,4
Baltimore County Public School District,"Baltimore, MD","$250,000 ","$250,000 ",100%,100.00%,53,53,100%,0,6.3
Bandera Isd School District,"Bandera, TX","$269,000 ","$269,000 ",100%,100.00%,118,118,100%,0,7
Pocatello District School District,"Bannock, ID","$150,000 ","$150,000 ",100%,100.00%,48,48,100%,0,6
L'anse Area School District,"Baraga, MI","$100,000 ","$100,000 ",100%,100.00%,299,299,100%,0,6
Great Bend School District,"Barton, KS","$128,000 ","$128,000 ",100%,100.00%,82,82,100%,0,4
Cartersville City School District,"Bartow, GA","$259,000 ","$259,000 ",100%,100.00%,65,65,100%,0,7.3
Bay School District,"Bay, FL","$269,000 ","$269,000 ",100%,100.00%,98,98,100%,0,5.9
Huron School District 02-2 School District,"Beadle, SD","$149,000 ","$149,000 ",100%,100.00%,59,59,100%,0,2
Bear Lake County District School District,"Bear Lake, ID","$149,000 ","$149,000 ",100%,100.00%,126,126,100%,0,7
Beaufort 01 School District,"Beaufort, SC","$390,000 ","$390,000 ",100%,100.00%,108,108,100%,0,5.7
Dillon Elementary,"Beaverhead, MT","$216,000 ","$216,000 ",100%,105.56%,69,73,95%,-4,7.3
Beeville Isd School District,"Bee, TX","$140,000 ","$140,000 ",100%,100.00%,87,87,100%,0,3
Bemidji Public School District,"Beltrami, MN","$180,000 ","$180,000 ",100%,104.55%,67,67,100%,0,5.8
Ben Hill County School District,"Ben Hill, GA","$97,000 ","$97,000 ",100%,100.00%,138,138,100%,0,5.3
St Maries Joint District School District,"Benewah, ID","$185,000 ","$185,000 ",100%,100.00%,90,90,100%,0,6.5
Corvallis Sd 509J School District,"Benton, OR","$350,000 ","$350,000 ",100%,100.00%,44,44,100%,0,8.3
Berkeley 01 School District,"Berkeley, SC","$216,000 ","$216,000 ",100%,100.00%,62,62,100%,0,6
Berkeley County School District,"Berkeley, WV","$185,000 ","$185,000 ",100%,100.00%,69,69,100%,0,6.2
Berrien County School District,"Berrien, GA","$122,000 ","$122,000 ",100%,100.00%,85,85,100%,0,6.7
Blackford County School District,"Blackford, IN","$70,000 ","$70,000 ",100%,100.00%,90,90,100%,0,3
Bledsoe County School District,"Bledsoe, TN","$220,000 ","$220,000 ",100%,100.00%,151,151,100%,0,7
Oneonta City School District,"Blount, AL","$160,000 ","$160,000 ",100%,100.00%,104,104,100%,0,8
Bond County Cusd 2 School District,"Bond, IL","$99,000 ","$99,000 ",100%,100.00%,80,80,100%,0,8
West Bonner County District School District,"Bonner, ID","$349,000 ","$349,000 ",100%,100.00%,59,59,100%,0,6
Boone Community School District,"Boone, IA","$125,000 ","$125,000 ",100%,100.00%,45,45,100%,0,5
Clifton Isd School District,"Bosque, TX","$225,000 ","$225,000 ",100%,100.00%,123,123,100%,0,6.3
Bossier Parish School District,"Bossier, LA","$220,000 ","$220,000 ",100%,100.00%,58,58,100%,0,6.9
Botetourt Co Pblc Schs School District,"Botetourt, VA","$270,000 ","$270,000 ",100%,100.00%,87,87,100%,0,7.3
Boundary County District School District,"Boundary, ID","$239,000 ","$239,000 ",100%,100.00%,67,67,100%,0,5
Fort Scott School District,"Bourbon, KS","$73,000 ","$73,000 ",100%,100.00%,74,74,100%,0,2.3
Cleveland School District,"Bradley, TN","$180,000 ","$180,000 ",100%,100.00%,65,65,100%,0,5.9
Breckinridge Co School District,"Breckinridge, KY","$149,000 ","$149,000 ",100%,100.00%,89,89,100%,0,6.8
